Rank,Username,Categories,Suscribers,Country,Visits,Likes,Comments,Links
1,tseries,music and dance,253500000,India,23630309,679397,25477,http://youtube.com/channel/UCq-Fj5jknLsUf-MWSy4_brA
2,MrBeast,"Videogames, Humour",210100000,USA,17304961736,979526136,3011135,http://youtube.com/channel/UCX6OQ3DkcsbYNE6H8uQQuVA
3,CoComelon,Education,168100000,Unknown,775933107,4087842,31813257,http://youtube.com/channel/UCbCmjCuTUZos6Inko4u57UQ
4,SETIndia,-,165400000,India,4373226,44858,1689,http://youtube.com/channel/UCpEhnqL0y41EpW2TvWAHD7Q
5,KidsDianaShow,Animation,116500000,Unknown,512120969,1099186,14551729,http://youtube.com/channel/UCk8GzjMOrta8yxDcKfylJYw
6,PewDiePie,"Movie, VideoGames",111400000,USA,377954997,23719934,1055667,http://youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw
7,LikeNastyaofficial,Toys,110400000,Unknown,542694863,1919286,14613051,http://youtube.com/channel/UCJplp5SjeGSdVdwsfb9Q7lQ
8,VladandNiki,Animation,105500000,Unknown,650671924,2046658,12481070,http://youtube.com/channel/UCvlE5gTbOvjiolFlEm-c_Ow
9,zeemusiccompany,music and dance,102600000,India,5391530,207810,3925,http://youtube.com/channel/UCFFbwnve3yF62-tVXkTyHqg
10,WWE,Video Games,98100000,USA,13792569,428109,17589,http://youtube.com/channel/UCJ5v_MCY6GNUBTO8-D3XoAg
11,BLACKPINK,music and dance,92200000,USA,128997041,15780638,541787,http://youtube.com/channel/UCOmHUn--16B90oW2L6FRR3A
12,GoldminesTelefilms,-,92100000,India,1724208,19231,884,http://youtube.com/channel/UCyoXW-Dse7fURq30EWl_CUA
13,SonySAB,"Movies, Animation",87200000,India,2921295,49302,1315,http://youtube.com/channel/UC6-F5tO8uklgE9Zy8IvbdFw
14,5MinuteCraftsYouTube,Movies,80500000,India,8319219,47232,2057,http://youtube.com/channel/UC295-Dw_tDNtZXFeAPAW6Aw
15,BTS,music and dance,77000000,India,64260217,11682400,238416,http://youtube.com/channel/UCLkAepWjdylmXSltofFvsYQ
16,zeetv,-,74700000,India,256203,11838,6599438,http://youtube.com/channel/UCppHT7SZKKvar4Oc9J4oljQ
17,HYBELABELS,music and dance,73400000,USA,24709629,3419215,51867,http://youtube.com/channel/UC3IZKseVpdzPSBaWxBxundA
18,Pinkfong,Animation,71100000,Unknown,20943656,22512,4409517,http://youtube.com/channel/UCcdwLMPsaU2ezNSJU1nFoBQ
19,ChuChuTV,Toys,68800000,Unknown,29570587,684504,4281263,http://youtube.com/channel/UCBnZ16ahKA2DZ_T5W0FPUXg
20,colorstv,-,68700000,India,826639,12429,120,http://youtube.com/channel/UC55IWqFLDH1Xp7iu1_xknRA
21,filmigaane,music and dance,66900000,India,1434483,18535,805,http://youtube.com/channel/UCP6uH_XlsxrXwZQ4DlqbqPg
22,KondZilla,music and dance,66700000,Brasil,1184191,52976,311,http://youtube.com/channel/UCffDXn7ycAzwL2LDlbyWOTw
