overall_review,overall_review_count,recent_review,recent_review_count,genres,categories,age_rating,discount_percentage
83,654304,94,7771,RPG,"Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",1,-50
65,70065,86,1593,"Action, Strategy","Single-player, Online PvP, LAN PvP, Online Co-op, LAN Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",1,-50
88,137294,89,2657,"Action, Adventure, Indie","Single-player, Online Co-op, Steam Cloud",0,-40
87,1640234,91,15926,"Action, Adventure","Single-player, Online PvP, Online Co-op, Steam Achievements, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV",1,-64
97,565138,95,6869,"Indie, Simulation","Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing",0,-75
83,120455,81,730,"Action, Adventure, Massively Multiplayer, RPG","MMO, Online PvP, Online Co-op, Steam Trading Cards, Captions available, In-App Purchases, Family Sharing",1,-70
97,123236,96,1857,"Indie, Simulation","Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play Together, Family Sharing",0,-75
93,18076,94,8106,"Action, Adventure, Indie","Online Co-op, Family Sharing",0,-20
82,156839,73,1747,Action,"Online PvP, Online Co-op, Steam Achievements, Steam Trading Cards, In-App Purchases, Steam Leaderboards, Remote Play on Tablet, Remote Play on TV",1,-65
97,91295,96,1544,"Adventure, Casual, RPG, Simulation","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Family Sharing",0,-25
94,160313,93,1766,RPG,"Single-player, Steam Achievements, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Family Sharing",1,-80
89,138648,81,1258,"Action, Adventure, RPG","Single-player, Steam Achievements, Steam Trading Cards, Captions available, In-App Purchases, Remote Play on Phone, Remote Play on Tablet",1,-85
96,706971,95,3950,RPG,"Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Remote Play on Tablet, Remote Play on TV, Family Sharing",1,-75
91,51963,91,348,"Action, Adventure, Casual, Simulation, Strategy","Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing",0,-95
77,11358,81,495,"Adventure, Indie, RPG, Strategy","Single-player, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Family Sharing",0,-30
76,323228,85,2581,"Action, Adventure, Massively Multiplayer","MMO, Online PvP, Online Co-op, Steam Achievements, Steam Workshop, Steam Cloud, Valve Anti-Cheat enabled",1,-40
93,82815,81,122,"Action, Strategy","Single-player, Online PvP, LAN PvP, Online Co-op, LAN Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Remote Play on Tablet, Family Sharing",1,-75
67,77993,69,733,"Action, Adventure, Indie","Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Captions available, In-App Purchases, Family Sharing",0,-40
94,386317,89,4517,"Action, Adventure, Indie, RPG, Early Access","Single-player, Online Co-op, Steam Cloud, Remote Play on Tablet, Family Sharing",0,-50
70,19884,64,647,"Action, Adventure, RPG","Single-player, Captions available, In-App Purchases",1,-80
90,66088,86,447,"Action, Adventure","Single-player, Shared/Split Screen PvP, Steam Achievements, Steam Cloud, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing",1,-80
88,22330,93,559,"Simulation, Strategy","Single-player, Steam Achievements, Steam Cloud, Stats, HDR available, Family Sharing",1,-70
59,47538,63,1687,"Action, Adventure, Indie, Massively Multiplayer, RPG, Early Access","Single-player, MMO, Online PvP, LAN PvP, Online Co-op, LAN Co-op, Shared/Split Screen Co-op, Cross-Platform Multiplayer, Steam Achievements, Includes level editor, Remote Play Together, Family Sharing",1,-20
91,58665,91,2522,"Indie, Early Access","Single-player, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing",0,-20
78,30992,72,40,"Action, Strategy","Single-player, Online PvP, LAN PvP, Online Co-op, LAN Co-op, Steam Achievements, Steam Trading Cards, Steam Workshop, Family Sharing",1,-75
97,124005,97,1032,"Adventure, Indie","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing",1,-34
91,9931,87,583,"Action, Adventure, RPG","Single-player, Online Co-op, Shared/Split Screen Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Family Sharing",1,-50
87,6759,87,502,"Adventure, RPG, Strategy","Single-player, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Cross-Platform Multiplayer, Steam Achievements, Captions available, Steam Cloud, Includes level editor, Remote Play Together, Family Sharing",0,-20
85,102918,84,657,"Action, RPG","Single-player, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",1,-85
86,92389,81,825,"Action, Adventure, RPG","Single-player, Steam Achievements, Steam Trading Cards, Captions available, In-App Purchases, Remote Play on Tablet",1,-85
27,25228,37,1797,"Simulation, Sports","Single-player, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, In-App Purchases, Steam Cloud, Remote Play Together, Family Sharing",1,-84
95,56095,95,957,"Action, Adventure","Single-player, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",1,-40
92,26417,91,826,"Action, Adventure, RPG","Single-player, Family Sharing",0,-30
80,3206,81,90,Action,"Single-player, Online PvP, Shared/Split Screen PvP, Steam Cloud, Remote Play Together, Family Sharing",0,-20
84,35383,77,928,"Action, Adventure, RPG","Single-player, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing",1,-40
97,271800,95,3627,Strategy,"Single-player, Online Co-op, Steam Achievements, In-App Purchases, Remote Play on Phone, Remote Play on Tablet, Family Sharing",0,-65
88,71856,92,493,"Action, Adventure, RPG","Single-player, Steam Achievements, Steam Trading Cards, In-App Purchases, Steam Cloud, Family Sharing",1,-90
85,21866,89,822,"Action, Adventure","Single-player, Steam Achievements, Tracked Controller Support, VR Supported, Steam Cloud, Family Sharing",1,-60
89,27441,87,472,"Adventure, Simulation","Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Family Sharing",0,-50
84,77875,85,354,"Action, Indie","Single-player, Online Co-op, Steam Achievements, Steam Trading Cards, Family Sharing",0,-80
